Filename,Length (px),width (px),,Length (um),width (um)
dh5a-fm464.tif,11.096231081137,5.9946629342205,,0.499,0.27
dh5a-fm464.tif,34.1927768853301,11.8724416746259,,1.539,0.534
dh5a-fm464.tif,37.2231228967104,12.5995672218888,,1.675,0.567
dh5a-fm464.tif,32.1223733817472,11.8793037486108,,1.446,0.535
dh5a-fm464.tif,29.0615607635067,11.8476042572061,,1.308,0.533
dh5a-fm464.tif,17.0991551470759,9.39899525725512,,0.769,0.423
dh5a-fm464.tif,60.4821164822021,12.6825089381099,,2.722,0.571
dh5a-fm464.tif,22.2612437146958,11.0233984952282,,1.002,0.496
dh5a-fm464.tif,28.1663141893514,11.7747510000086,,1.267,0.53
dh5a-fm464.tif,27.3480244381429,11.087484207216,,1.231,0.499
dh5a-fm464.tif,41.1837475840344,11.5562690691267,,1.853,0.52
dh5a-fm464.tif,23.0694813596072,11.140125820393,,1.038,0.501
dh5a-fm464.tif,79.4677702345164,11.3761244897247,,3.576,0.512
dh5a-fm464.tif,27.1833231562276,11.7151693201897,,1.223,0.527
dh5a-fm464.tif,19.2553227177583,10.441451836024,,0.866,0.47
dh5a-fm464.tif,28.6023707744507,11.9120681877443,,1.287,0.536
dh5a-fm464.tif,26.0527630580954,10.6196873835459,,1.172,0.478
dh5a-fm464.tif,25.2590079118058,11.5743142350508,,1.137,0.521
dh5a-fm464.tif,25.0797562332284,11.7323520611718,,1.129,0.528
dh5a-fm464.tif,16.0753161199927,8.76242926874867,,0.723,0.394
dh5a-fm464.tif,24.3308643984924,10.750434350106,,1.095,0.484
dh5a-fm464.tif,27.7625110419653,11.586436861803,,1.249,0.521
dh5a-fm464.tif,22.0240509746199,10.9521364719842,,0.991,0.493
dh5a-fm464.tif,36.085971532879,12.1566875431263,,1.624,0.547
dh5a-fm464.tif,28.1006297869919,11.7535317455404,,1.265,0.529
dh5a-fm464.tif,31.4376940071229,12.7709555217682,,1.415,0.575
dh5a-fm464.tif,26.3189800468009,11.4117149092008,,1.184,0.514
dh5a-fm464.tif,24.2700682946365,11.6777125999162,,1.092,0.525
dh5a-fm464.tif,25.0781027582079,11.6656794195363,,1.129,0.525
dh5a-fm464.tif,22.1521595574015,10.9614135402612,,0.997,0.493
dh5a-fm464.tif,34.152477715328,11.8634431920307,,1.537,0.534
dh5a-fm464.tif,30.1874297380238,11.6714006214629,,1.358,0.525
dh5a-fm464.tif,3,2.23606797749979,,0.135,0.101
dh5a-fm464.tif,20.0234227565648,9.35059561706087,,0.901,0.421
dh5a-fm464.tif,26.1406301860734,10.7053906951749,,1.176,0.482
dh5a-fm464.tif,37.1465190234994,12.7038502738692,,1.672,0.572
dh5a-fm464.tif,20.0870893789242,10.6507332372127,,0.904,0.479
dh5a-fm464.tif,42.1962699876772,11.4378473891057,,1.899,0.515
dh5a-fm464.tif,21.0389527522891,11.1286929164943,,0.947,0.501
dh5a-fm464.tif,44.4779994319431,12.5101870558653,,2.002,0.563
dh5a-fm464.tif,21.4915157811424,11.06906786066,,0.967,0.498
dh5a-fm464.tif,26.0768404979822,10.9467320922349,,1.173,0.493
dh5a-fm464.tif,26.0925775300129,12.3043768883801,,1.174,0.554
dh5a-fm464.tif,24.2246913625672,11.6225293076942,,1.09,0.523
dh5a-fm464.tif,24.2246913625672,11.6225293076942,,1.09,0.523
mg1655-fm464.tif,59.6288605082177,12.975076991397,,2.683,0.584
mg1655-fm464.tif,77.6443060887966,13.097825636143,,3.494,0.589
mg1655-fm464.tif,59.6112672770265,13.3334305042129,,2.683,0.6
mg1655-fm464.tif,17.0546339144315,9.54893095103974,,0.767,0.43
mg1655-fm464.tif,63.2275215557477,12.8977837630045,,2.845,0.58
mg1655-fm464.tif,15.0578482718294,9.25363740164284,,0.678,0.416
mg1655-fm464.tif,88.7411362578604,13.0660122676262,,3.993,0.588
mg1655-fm464.tif,91.4738891189984,11.8626777266573,,4.116,0.534
mg1655-fm464.tif,78.641400938211,13.8725755229788,,3.539,0.624
mg1655-fm464.tif,82.5946538806423,12.3042436453708,,3.717,0.554
mg1655-fm464.tif,64.4628652012553,12.5992152403331,,2.901,0.567
mg1655-fm464.tif,65.3573536160885,12.8076557698878,,2.941,0.576
mg1655-fm464.tif,61.1613496168046,13.0551459490525,,2.752,0.587
mg1655-fm464.tif,44.3093537285129,11.2467299375062,,1.994,0.506
mg1655-fm464.tif,64.5391418930859,13.8309884105516,,2.904,0.622
mg1655-fm464.tif,19.06323171872,9.32359615207596,,0.858,0.42
mg1655-fm464.tif,42.2523185818503,13.0727622749714,,1.901,0.588
mg1655-fm464.tif,73.4975457154729,14.0907712837929,,3.307,0.634
mg1655-fm464.tif,75.6219710715599,12.9232171736711,,3.403,0.582
mg1655-fm464.tif,63.1573955256915,12.9123774910185,,2.842,0.581
mg1655-fm464.tif,49.2290068228405,12.1827222199889,,2.215,0.548
mg1655-fm464.tif,54.6462957278429,12.640262542981,,2.459,0.569
mg1655-fm464.tif,58.6186260515086,13.2366323269692,,2.638,0.596
mg1655-fm464.tif,55.6009134049712,13.4263427725195,,2.502,0.604
mg1655-fm464.tif,63.3403414716672,13.2251761546127,,2.85,0.595
mg1655-fm464.tif,95.4839474311596,12.7576537463864,,4.297,0.574
mg1655-fm464.tif,64.6311208859476,13.0202249549267,,2.908,0.586
mg1655-fm464.tif,96.7106178487754,12.764524383525,,4.352,0.574
mg1655-fm464.tif,91.6088887553582,12.8458375957059,,4.122,0.578
mg1655-fm464.tif,58.2933247409078,12.840951488203,,2.623,0.578
mg1655-fm464.tif,20.4099205935391,9.17134226432854,,0.918,0.413
mg1655-fm464.tif,73.4530676944773,13.596436752792,,3.305,0.612
